iter	Passed	Remaining
0	1	183
1	3	164
2	4	155
3	6	144
4	7	134
5	7	121
6	8	111
7	9	104
8	9	98
9	10	93
10	11	89
11	11	86
12	12	82
13	13	80
14	13	77
15	14	75
16	15	73
17	15	71
18	16	69
19	16	67
20	17	66
21	18	64
22	18	63
23	19	62
24	20	60
25	20	59
26	21	58
27	22	57
28	22	56
29	23	55
30	24	54
31	24	52
32	25	51
33	26	50
34	26	49
35	27	48
36	28	48
37	28	47
38	29	46
39	30	45
40	30	44
41	31	42
42	31	42
43	32	41
44	33	40
45	33	39
46	34	38
47	35	38
48	35	37
49	36	36
50	37	35
51	37	34
52	38	34
53	39	33
54	39	32
55	40	31
56	40	30
57	41	30
58	42	29
59	42	28
60	43	27
61	44	27
62	44	26
63	45	25
64	46	24
65	46	24
66	47	23
67	48	22
68	48	22
69	49	21
70	50	20
71	50	19
72	51	19
73	52	18
74	52	17
75	53	16
76	54	16
77	54	15
78	55	14
79	56	14
80	56	13
81	57	12
82	58	11
83	58	11
84	59	10
85	60	9
86	60	9
87	61	8
88	61	7
89	62	6
90	63	6
91	63	5
92	64	4
93	65	4
94	65	3
95	66	2
96	67	2
97	67	1
98	68	0
99	69	0
