iter	Passed	Remaining
0	132	132644
1	133	66846
2	134	44777
3	135	33730
4	136	27133
5	137	22729
6	137	19575
7	138	17213
8	139	15379
9	140	13910
10	141	12702
11	142	11699
12	142	10856
13	144	10163
14	145	9536
15	146	8982
16	146	8497
17	147	8057
18	148	7663
19	149	7311
20	149	6992
21	150	6700
22	151	6433
23	152	6187
24	152	5962
25	153	5753
26	154	5560
27	155	5384
28	155	5222
29	157	5082
30	158	4943
31	158	4807
32	159	4681
33	160	4561
34	161	4446
35	162	4339
36	162	4236
37	163	4138
38	164	4047
39	164	3959
40	165	3876
41	166	3801
42	168	3750
43	169	3689
44	171	3647
45	172	3583
46	173	3521
47	174	3460
48	175	3402
49	176	3344
50	176	3288
51	177	3234
52	178	3182
53	178	3133
54	179	3090
55	180	3046
56	181	3002
57	182	2963
58	184	2947
59	185	2909
60	186	2874
61	187	2837
62	188	2801
63	189	2767
64	190	2734
65	190	2700
66	191	2667
67	192	2636
68	193	2604
69	193	2573
70	194	2544
71	195	2516
72	195	2488
73	196	2462
74	198	2442
75	199	2419
76	199	2394
77	200	2370
78	201	2347
79	202	2325
80	202	2302
81	203	2279
82	204	2254
83	204	2232
84	205	2212
85	206	2191
86	206	2171
87	207	2151
88	208	2132
89	208	2113
90	209	2094
91	210	2076
92	211	2059
93	212	2047
94	213	2033
95	214	2016
96	214	2000
97	215	1984
98	216	1968
99	217	1953
100	217	1938
101	218	1922
102	219	1908
103	219	1893
104	220	1879
105	221	1864
106	221	1850
107	222	1837
108	223	1823
109	223	1810
110	224	1797
111	225	1785
112	226	1775
113	227	1770
114	228	1759
115	229	1749
116	230	1737
117	230	1726
118	231	1714
119	232	1704
120	233	1695
121	234	1685
122	234	1674
123	235	1664
124	236	1654
125	237	1645
126	237	1635
127	238	1626
128	240	1626
129	242	1625
130	244	1619
131	245	1612
132	245	1603
133	246	1593
134	247	1585
135	248	1576
136	249	1568
137	249	1560
138	250	1553
139	251	1544
140	252	1537
141	252	1527
142	253	1519
143	254	1511
144	255	1505
145	256	1500
146	257	1493
147	258	1488
148	262	1498
149	263	1492
150	264	1486
151	265	1479
152	266	1473
153	269	1479
154	271	1479
155	273	1477
156	274	1475
157	275	1468
158	276	1461
159	277	1454
160	277	1446
161	278	1438
162	278	1431
163	279	1425
164	280	1418
165	280	1411
166	281	1404
167	282	1397
168	283	1391
169	284	1391
170	286	1387
171	287	1382
172	287	1376
173	288	1371
174	289	1366
175	290	1360
176	291	1355
177	292	1349
178	293	1344
179	293	1338
180	294	1332
181	295	1326
182	295	1321
183	296	1315
184	297	1309
185	298	1306
186	299	1303
187	300	1298
188	301	1294
189	302	1290
190	303	1285
191	304	1280
192	305	1275
193	306	1271
194	307	1268
195	308	1263
196	308	1258
197	309	1253
198	310	1248
199	310	1243
200	311	1238
201	312	1236
202	313	1232
203	314	1227
204	315	1222
205	316	1218
206	316	1213
207	317	1208
208	318	1203
209	318	1199
210	319	1194
211	320	1189
212	320	1184
213	321	1180
214	321	1175
215	322	1170
216	323	1166
217	323	1161
218	324	1157
219	325	1153
220	326	1149
221	327	1146
222	328	1144
223	329	1140
224	330	1138
225	331	1135
226	332	1131
227	333	1127
228	333	1123
229	334	1119
230	335	1116
231	336	1113
232	337	1109
233	337	1105
234	338	1101
235	339	1099
236	341	1098
237	342	1096
238	343	1092
239	343	1089
240	344	1086
241	345	1082
242	346	1078
243	346	1074
244	347	1071
245	348	1067
246	348	1063
247	349	1060
248	350	1056
249	351	1053
250	351	1049
251	352	1046
252	353	1042
253	353	1038
254	354	1035
255	355	1032
256	356	1031
257	357	1028
258	358	1026
259	359	1024
260	360	1021
261	361	1018
262	362	1015
263	363	1012
264	363	1009
265	364	1006
266	365	1003
267	366	1000
268	367	997
269	367	994
270	368	991
271	369	988
272	370	986
273	371	983
274	372	980
275	372	978
276	373	975
277	374	973
278	375	970
279	376	967
280	377	964
281	377	962
282	378	959
283	379	956
284	380	953
285	381	951
286	381	948
287	382	945
288	384	946
289	385	944
290	386	942
291	387	940
292	388	937
293	389	935
294	390	932
295	391	931
296	392	929
297	393	927
298	394	925
299	395	922
300	396	920
301	399	924
302	401	922
303	401	920
304	402	918
305	403	915
306	404	912
307	405	910
308	405	907
309	406	904
310	407	902
311	407	899
312	408	896
313	409	893
314	409	891
315	410	888
316	411	886
317	412	884
318	413	882
319	414	880
320	415	877
321	415	875
322	416	873
323	417	871
324	418	869
325	419	867
326	420	864
327	420	862
328	421	860
329	422	857
330	423	855
331	424	853
332	424	851
333	425	848
334	426	846
335	427	845
336	428	843
337	429	841
338	430	839
339	431	837
340	432	835
341	433	833
342	433	831
343	434	829
344	435	827
345	436	825
